t,M,T,P1,mdot
0.0,6.993116131631435,283.15,4001201.994024788,0.0
0.1,6.993116131631435,283.15000006533876,4001202.000304496,0.014177272259091617
0.2,6.991698404405526,283.14685208577146,4000899.458087641,0.05499198423982511
0.30000000000000004,6.986199205981544,283.13463420732114,3999725.3979749735,0.11746750691928684
0.4,6.974452455289615,283.1084907130652,3997214.0349235474,0.19392992253151367
0.5,6.955059463036464,283.0651935260206,3993057.452364358,0.2749414957403399
0.6,6.92756531346243,283.00351776023444,3987142.049031486,0.35049401439537564
0.7,6.892515912022892,282.9243936036206,3979562.681230877,0.41129504171191256
0.7999999999999999,6.851386407851701,282.8308186641825,3970612.8748384854,0.44995657601128025
0.8999999999999999,6.806390750250572,282.7275413585313,3960752.4588461565,0.46191040745110806
0.9999999999999999,6.760199709505462,282.62051987651023,3950553.7530945595,0.4597886393595185
1.0999999999999999,6.71422084556951,282.51296793801873,3940324.1407670435,0.45764379469868416
1.2,6.6684564660996415,282.4048908325086,3930064.384930648,0.4554756291041529
1.3,6.622908903189226,282.2962915825241,3919775.0308340555,0.45328385267727167
1.4000000000000001,6.577580517921499,282.18717623315285,3909456.9076531036,0.4510682201897794
1.5000000000000002,6.532473695902521,282.077548562575,3899110.626954749,0.4488284401063386
1.6000000000000003,6.487590851891887,281.9674146158785,3888737.011385264,0.4465642527446206
1.7000000000000004,6.442934426617425,281.8567796825156,3878336.8086766656,0.4442753777322857
1.8000000000000005,6.398506888844197,281.7456505632099,3867910.9047773927,0.44196155372088947
1.9000000000000006,6.354310733472108,281.6340333030495,3857460.1103607323,0.4396224981956478
2.0000000000000004,6.310348483652543,281.5219347027586,3846985.3025678936,0.43725793405246516
2.1000000000000005,6.266622690247297,281.40936231869694,3836487.4242584864,0.4348675897373131
2.2000000000000006,6.223135931273565,281.2963229515884,3825967.342751126,0.4324511715235831
2.3000000000000007,6.179890814121206,281.18282642470126,3815426.201042423,0.4300084328021253
2.400000000000001,6.136889970840993,281.0688795387594,3804864.855173731,0.4275390625958584
2.500000000000001,6.0941360645814076,280.95449211703067,3794284.4356320007,0.42504279711066595
2.600000000000001,6.051631784870341,280.8396739827832,3783686.0657207416,0.4225193639885096
2.700000000000001,6.0093798484714895,280.72443344801286,3773070.7224479644,0.41996845283621853
2.800000000000001,5.967383003187868,280.60878260289576,3762439.7236467013,0.41738981604222325
2.9000000000000012,5.925644021583645,280.4927320263356,3751794.2396100825,0.41478316795589887
3.0000000000000013,5.884165704788055,280.37629229723643,3741135.4326920705,0.41214821295987397
3.1000000000000014,5.842950883492067,280.25947626141055,3730464.664123711,0.40948469003613913
3.2000000000000015,5.802002414488453,280.1422952533976,3719783.1477558143,0.4067922983352499
3.3000000000000016,5.761323184654929,280.02476363028154,3709092.3634396996,0.4040707871388568
3.4000000000000017,5.720916105941043,279.9068934822385,3698393.574468634,0.4013198498877123
3.5000000000000018,5.680784120952272,279.7887006776242,3687688.37667674,0.39853924621220227
3.600000000000002,5.640930196331052,279.6701988178869,3676978.1489744433,0.3957286789836667
3.700000000000002,5.601357328432686,279.55140301574636,3666264.39588694,0.39288787097054456
3.800000000000002,5.5620685413356314,279.43232989519447,3655548.7460595146,0.3900165656707628
3.900000000000002,5.523066884768555,279.3129968358595,3644832.882983082,0.38711451195924407
4.000000000000002,5.484355433572631,279.193418950461,3634118.2736996757,0.3841813986888296
4.100000000000001,5.445937293703748,279.0736158855354,3623406.7783744317,0.3812170004657649
4.200000000000001,5.407815593657172,278.9536057763462,3612700.107151582,0.3782210481235143
4.300000000000001,5.369993488844821,278.83340751379353,3602000.023195899,0.3751932769170786
4.4,5.332474161153113,278.71304150004937,3591308.40900244,0.3721334437605915
4.5,5.295260816777054,278.5925281372855,3580627.131132014,0.3690412936119938
4.6,5.258356687415854,278.47188858331003,3569958.1069753477,0.3659165761215887
4.699999999999999,5.221765029803695,278.3511455072029,3559303.370644169,0.3627590633838339
4.799999999999999,5.185489123465311,278.2303215780439,3548664.938612301,0.35956851524597977
4.899999999999999,5.149532271940713,278.1094402205491,3538044.8760653967,0.3563446964947358
4.999999999999998,5.113897802291239,277.9885263707064,3527445.362382083,0.35308739524488053
5.099999999999998,5.078589062766751,277.86760420886776,3516868.4916653614,0.34979636851992113
5.1999999999999975,5.043609425914759,277.746700182293,3506316.537041871,0.34647141517963775
5.299999999999997,5.0089622843967945,277.6258414938782,3495791.8170953845,0.3431123402687395
5.399999999999997,4.97465105036992,277.50505534651904,3485296.629649566,0.33971893594067026
5.4999999999999964,4.940679156775853,277.3843696987477,3474833.3173158634,0.33629099987878264
5.599999999999996,4.907050056787975,277.26381402036805,3464404.332186196,0.3328283551335528
5.699999999999996,4.87376722127462,277.143417781184,3454012.1042224597,0.32933081152855237
5.799999999999995,4.840834140121765,277.0232127179073,3443659.236437135,0.3257982253245909
5.899999999999995,4.808254317589306,276.9032298116141,3433348.243451381,0.32223041990320533
5.999999999999995,4.776031275598985,276.7835023102881,3423081.811295612,0.3186272665753093
6.099999999999994,4.744168548941454,276.66406270627726,3412862.5371585824,0.3149886031258895
6.199999999999994,4.712669688628865,276.54494500320163,3402693.123649181,0.3113142954584977
6.299999999999994,4.681538259083015,276.4261847159531,3392576.377634405,0.307604239340438
6.399999999999993,4.650777835148971,276.3078173594233,3382515.080792131,0.30385831814761166
6.499999999999993,4.62039200333421,276.1898792041404,3372512.0539348414,0.3000764240577328
6.5999999999999925,4.590384360928437,276.0724087875401,3362570.2844001874,0.29625850396399295
