t_s,M_kg,P_bar,T_K,mdot_kg_s,V2_m_s,rho1_kg_m3,rho2_kg_m3,h1_J_kg,h2_J_kg
0.0,12.5,3.2069969956277973,206.596593205668,0.03488266235685694,64.97733152741472,1163.8004790271677,31.644928582499503,38035.29000299725,34446.54443243722
0.05,12.498255866882158,3.221779903051767,206.69606329668312,0.03488619982302185,65.24954548594964,1163.4863347335092,31.51610514380334,38209.94063861248,34591.06293040793
0.1,12.496511556891006,3.2366308903676404,206.79564103931182,0.03488973808342879,65.52193766137401,1163.1717288799832,31.388267453584707,38384.803931906936,34735.6482642411
0.15000000000000002,12.494767069986835,3.251550316441896,206.8953269036486,0.0348932771799466,65.79450928399221,1162.8566593425785,31.26140376048225,38559.880864156956,34880.30103002382
0.2,12.493022406127839,3.2665384714559362,206.99512088969348,0.03489681713731393,66.06726029824934,1162.5411254791884,31.135503091315936,38735.17159197104,35025.021141151905
0.25,12.491277565270973,3.2815957531071396,207.09502370258792,0.03490035800483661,66.34019257547726,1162.225124414383,31.010553758369515,38910.67751148481,35169.809533176114
0.3,12.489532547370732,3.2967225616554496,207.1950360474736,0.03490389983134963,66.61330798463766,1161.9086532667675,30.88654426465848,39086.40002019655,35314.66713963878
0.35,12.487787352379165,3.311919299922578,207.29515862949194,0.03490744266520008,66.88660839228801,1161.5917091489428,30.763463300066075,39262.34051697243,35459.59489208263
0.39999999999999997,12.486041980245904,3.327186229864351,207.39539121359587,0.034910986521053185,67.16009309788001,1161.2742921454465,30.641300878563815,39438.49874956949,35604.59236039096
0.44999999999999996,12.484296430919851,3.3425239019439417,207.49573544511566,0.034914531479630244,67.43376653021593,1160.9563963811254,30.52004489214214,39614.8777716572,35749.66183347328
0.49999999999999994,12.48255070434587,3.357932582323963,207.59619108900426,0.03491807755475538,67.70762798624554,1160.638021930682,30.39968569105431,39791.47733332007,35894.80287892483
0.5499999999999999,12.480804800468132,3.373412682740833,207.6967588504031,0.03492162479306493,67.98167932643355,1160.3191658858725,30.280212647732377,39968.29883830931,36040.016422873574
0.6,12.479058719228478,3.38896469031231,207.79743990454824,0.034925173257330015,68.25592368915687,1159.999823840925,30.161614752751206,40145.344518503865,36185.30406764286
0.65,12.477312460565612,3.404588840349208,207.89823378134514,0.034928722951939745,68.53035972948821,1159.6799966032856,30.043883095144526,40322.61371378144,36330.66503982634
0.7000000000000001,12.475566024418015,3.4202856612806594,207.99914189107716,0.03493227394712832,68.80499122214289,1159.359679009927,29.92700671194856,40500.10907206442,36476.10127754713
0.7500000000000001,12.473819410720658,3.436055465234707,208.10016423374412,0.03493582626309908,69.07981810057062,1159.0388703673764,29.810976440577797,40677.8307622378,36621.61268375106
0.8000000000000002,12.472072619407504,3.451898713030143,208.20130174953488,0.034939379952745306,69.35484285530606,1158.7175669919452,29.695782181789955,40855.780608297595,36767.20051493603
0.8500000000000002,12.470325650409867,3.4678158687145046,208.3025553786382,0.034942935068551804,69.6300679735847,1158.3957651923777,29.581413999187937,41033.96043594473,36912.86602483961
