t [s],P1 [Pa],P_line [Pa],P2 [Pa],mdot_out [kg/s]
0.0,5000000.0,4900000.0,100000.0,0.0
0.01,5000000.0,4900000.0,100000.0,0.0
0.02,5000000.0,4900000.0,100000.0,0.0
0.03,5000000.0,4900000.0,100000.0,0.0
0.04,5000000.0,4900000.0,100000.0,0.0
0.05,5000000.0,4900000.0,100000.0,0.0
0.060000000000000005,5000000.0,4900000.0,100000.0,0.0
0.07,5000000.0,4900000.0,100000.0,0.0
0.08,5000000.0,4900000.0,100000.0,0.0
0.09,5000000.0,4900000.0,100000.0,0.0
0.09999999999999999,5000000.0,4900000.0,100000.0,0.0
0.10999999999999999,5000000.0,4900000.0,100000.0,0.0
0.11999999999999998,5000000.0,4900000.0,100000.0,0.0
0.12999999999999998,5000000.0,4900000.0,100000.0,0.0
0.13999999999999999,5000000.0,4900000.0,100000.0,0.0
0.15,5000000.0,4900000.0,100000.0,0.0
0.16,5000000.0,4900000.0,100000.0,0.0
0.17,5000000.0,4900000.0,100000.0,0.0
0.18000000000000002,5000000.0,4900000.0,100000.0,0.0
0.19000000000000003,5000000.0,4900000.0,100000.0,0.0
0.20000000000000004,5000000.0,4900000.0,100000.0,0.0
0.21000000000000005,5000000.0,4900000.0,100000.0,0.0
0.22000000000000006,5000000.0,4900000.0,100000.0,0.0
0.23000000000000007,5000000.0,4900000.0,100000.0,0.0
0.24000000000000007,5000000.0,4900000.0,100000.0,0.0
0.25000000000000006,5000000.0,4900000.0,100000.0,0.0
0.26000000000000006,5000000.0,4900000.0,100000.0,0.0
0.2700000000000001,5000000.0,4900000.0,100000.0,0.0
0.2800000000000001,5000000.0,4900000.0,100000.0,0.0
0.2900000000000001,5000000.0,4900000.0,100000.0,0.0
0.3000000000000001,5000000.0,4900000.0,100000.0,0.0
0.3100000000000001,5000000.0,4900000.0,100000.0,0.0
0.3200000000000001,5000000.0,4900000.0,100000.0,0.0
0.3300000000000001,5000000.0,4900000.0,100000.0,0.0
0.34000000000000014,5000000.0,4900000.0,100000.0,0.0
0.35000000000000014,5000000.0,4900000.0,100000.0,0.0
0.36000000000000015,5000000.0,4900000.0,100000.0,0.0
0.37000000000000016,5000000.0,4900000.0,100000.0,0.0
0.38000000000000017,5000000.0,4900000.0,100000.0,0.0
0.3900000000000002,5000000.0,4900000.0,100000.0,0.0
0.4000000000000002,5000000.0,4900000.0,100000.0,0.0
0.4100000000000002,5000000.0,4900000.0,100000.0,0.0
0.4200000000000002,5000000.0,4900000.0,100000.0,0.0
0.4300000000000002,5000000.0,4900000.0,100000.0,0.0
0.4400000000000002,5000000.0,4900000.0,100000.0,0.0
0.45000000000000023,5000000.0,4900000.0,100000.0,0.0
0.46000000000000024,5000000.0,4900000.0,100000.0,0.0
0.47000000000000025,5000000.0,4900000.0,100000.0,0.0
0.48000000000000026,5000000.0,4900000.0,100000.0,0.0
0.49000000000000027,5000000.0,4900000.0,100000.0,0.0
0.5000000000000002,5000000.0,4900000.0,100000.0,0.0
0.5100000000000002,5000000.0,4900000.0,100000.0,0.0
0.5200000000000002,5000000.0,4900000.0,100000.0,0.0
0.5300000000000002,5000000.0,4900000.0,100000.0,0.0
0.5400000000000003,5000000.0,4900000.0,100000.0,0.0
0.5500000000000003,5000000.0,4900000.0,100000.0,0.0
0.5600000000000003,5000000.0,4900000.0,100000.0,0.0
0.5700000000000003,5000000.0,4900000.0,100000.0,0.0
0.5800000000000003,5000000.0,4900000.0,100000.0,0.0
0.5900000000000003,5000000.0,4900000.0,100000.0,0.0
0.6000000000000003,5000000.0,4900000.0,100000.0,0.0
0.6100000000000003,5000000.0,4900000.0,100000.0,0.0
0.6200000000000003,5000000.0,4900000.0,100000.0,0.0
0.6300000000000003,5000000.0,4900000.0,100000.0,0.0
0.6400000000000003,5000000.0,4900000.0,100000.0,0.0
0.6500000000000004,5000000.0,4900000.0,100000.0,0.0
0.6600000000000004,5000000.0,4900000.0,100000.0,0.0
0.6700000000000004,5000000.0,4900000.0,100000.0,0.0
